Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
ZrSe2,f17029facf63,P-6m2 (187),0.144,0.734,V,K,0.011,0.659
ZrSe2,f17029facf63,P-6m2 (187),0.144,0.734,C,K,0.124,0.65
AsBrSe,206b9dcf2af6,P3m1 (156),0.161,1.49,V,K,0.061,0.723
AsBrSe,206b9dcf2af6,P3m1 (156),0.161,1.49,C,K,0.037,0.0
Te2Zr2,8912432cb37b,P-6m2 (187),0.624,0.458,V,K,0.019,0.765
Te2Zr2,8912432cb37b,P-6m2 (187),0.624,0.458,C,K,0.088,0.467
Al2Te2,e54041554385,P-6m2 (187),0.0,1.763,V,K,0.087,1.134
Al2Te2,e54041554385,P-6m2 (187),0.0,1.763,C,K,0.118,0.055
Ga2S2,ac002f4ce724,P-6m2 (187),0.0,2.305,V,K,0.02,1.322
Ga2S2,ac002f4ce724,P-6m2 (187),0.0,2.305,C,K,0.02,0.453
STeW,75ee10091f43,P3m1 (156),0.086,1.168,V,K,0.425,0.113
STeW,75ee10091f43,P3m1 (156),0.086,1.168,C,K,0.03,0.0
MoSTe,2ea941c8bc3c,P3m1 (156),0.223,0.196,V,K,0.092,0.0
