cand_1,cand_2,r2,mae,delta_r2
el_Rpp_d_max,el_Rpp_d_range,0.6422361586902787,0.44387215250188655,-0.0011465850291502155
el_Rpp_d_std,el_IEII_min,0.6404411180918435,0.4425976335833771,-0.002941625627585487
el_Rpp_d_max,el_Rpp_d_std,0.6391114812893632,0.44598868158128524,-0.004271262430065703
el_Rpp_d_range,el_IEII_min,0.6389302955341796,0.44394148291481866,-0.004452448185249369
el_Rpp_d_range,el_Rpp_d_std,0.6350252008536648,0.4506915038137725,-0.008357542865764178
el_Rpp_d_range,el_EA_std,0.6269641041301988,0.44938337438275117,-0.016418639589230177
el_Rpp_d_max,el_IEII_min,0.6241172448350598,0.45128970327280993,-0.019265498884369125
el_EA_std,el_Rpp_d_std,0.6180298515771709,0.4505321366281221,-0.025352892142258
el_Rpp_d_max,el_EA_std,0.5987980613015434,0.459909939611801,-0.04458468241788549
el_EA_std,el_IEII_min,0.5969908724002253,0.4581810739835103,-0.04639187131920364
